Relative Path,File Type,Bytes,Audience,Release Control,SHA-256
09_Website_and_LMS_Implementation/Branding/CTA_Stacked_Logo.png,.png,249878,Implementation,David / CTA implementation use,26ea1774a1b7a4a1b1cfee5abc0c87034125421ce2b7486ae1f4094a5cd9d375
09_Website_and_LMS_Implementation/Branding/Primary Logo (Final).jpg,.jpg,91123,Implementation,David / CTA implementation use,c5278af53d8aeb8e51c073c66f20907b67597a5e2e4b749246039792c4962744
09_Website_and_LMS_Implementation/CTA_LPCC_LMS_Implementation_and_Release_Control_Guide_v1.0.docx,.docx,132340,Implementation,David / CTA implementation use,8ccf5fdabef8a51a81199003fa1c095778414bfa1cfd69ad16bab2f4c1c3c4e6
09_Website_and_LMS_Implementation/CTA_LPCC_NCMHCE_David_Complete_LMS_and_Website_Release_Package_v1.0.docx,.docx,130557,Implementation,David / CTA implementation use,52b896ea2579ef0c5d42cb2437fc4b4b71fb0677559a81dbea01b340fbf5d192
90_Admin_Restricted/Assessment_Synchronization/ASSESSMENT_SYNCHRONIZATION_SUMMARY.txt,.txt,603,Restricted administrative,Never student-visible,318c1b0c5b40b06c701acc221779f62d681f5399281039f21f3427dda3566192
90_Admin_Restricted/Assessment_Synchronization/CTA_LPCC_Assessment_Pair_Synchronization_Audit_v1.0.json,.json,21877,Restricted administrative,Never student-visible,afd3dd19da350808c3585297498519204e9646a338da12c56de37af1dd4da2c5
90_Admin_Restricted/Assessment_Synchronization/CTA_LPCC_DOCX_Integrity_Audit_v1.0.json,.json,17640,Restricted administrative,Never student-visible,d7601b1634eb740d7bb50bcd9fb8b363e694301bee28085ff529e61f2eb1343f
90_Admin_Restricted/Assessment_Synchronization/PACKAGE_INTEGRITY_SUMMARY.txt,.txt,337,Restricted administrative,Never student-visible,eb66e6a3363349df6bc8170fda8d9687d106b56c53210399d0c450481d61490b
90_Admin_Restricted/Blueprints_and_Crosswalks/CTA_LPCC_Exam_Preparation_Research_and_12_Workbook_Curriculum_Map_v1.0.docx,.docx,66759,Restricted administrative,Never student-visible,9de14d74420168874eedda7e8a5e3c51eed6ef6866051e5274b4e1fbfc33f9ee
90_Admin_Restricted/Blueprints_and_Crosswalks/CTA_LPCC_Master_Blueprint_Crosswalk_and_Content_Control_Matrix_v1.0.docx,.docx,819332,Restricted administrative,Never student-visible,0fbb3c9b34b66cbe05e41233ac36addc47d78ba36363419ae104a50d52f69050
90_Admin_Restricted/Official_Source_Reference/OFFICIAL_SOURCE_LINKS_AND_CURRENCY_CONTROL.txt,.txt,1608,Restricted administrative,Never student-visible,ef489fca3105ea01ce9071f3925b44cf6dd1bc1eb36aa086765b0465683704cc
90_Admin_Restricted/Program_Audit_and_Source_Control/CTA_LPCC_NCMHCE_2027_Update_Register_v1.0.docx,.docx,126351,Restricted administrative,Never student-visible,b9c01baaeab5ed390e46bd753ef3dd4410b7e397dfc462b5cdd4874428e4a8dc
90_Admin_Restricted/Program_Audit_and_Source_Control/CTA_LPCC_NCMHCE_Final_Publication_Readiness_Audit_and_Approval_Record_v1.0.docx,.docx,128105,Restricted administrative,Never student-visible,1d4831a2596de5cbaf66d9f419c929078ecd2d950dbb1f03cefa454f71c487b7
99_Archive_Superseded_Do_Not_Publish/Prepublication_Audits_and_Drafts/CTA_LPCC_LMS_Implementation_and_Release_Control_Guide_PRE_RECONCILIATION_v1.0.docx,.docx,132082,Archive,Do not publish,6ac0cbd72d644735d4d30664e88d15197d564fa20d65ae833e887129c5ad6eca
99_Archive_Superseded_Do_Not_Publish/Prepublication_Audits_and_Drafts/CTA_LPCC_NCMHCE_Final_Publication_Readiness_Audit_PRE_RECONCILIATION_v1.0.docx,.docx,128653,Archive,Do not publish,f9f3ce39566540793fdc81f3e239929f7b71b05faadb2964f64e34b2f8bc4a9b
99_Archive_Superseded_Do_Not_Publish/Prepublication_Audits_and_Drafts/CTA_LPCC_NCMHCE_Prepublication_Master_Index_and_Gap_Report_HISTORICAL_v1.0.docx,.docx,130307,Archive,Do not publish,b4c4f1d53847192a81668fb60109fe8f5951b922b7b9ae5d34137f97c86ead43
